"field","value","count","example_ids"
"data_access_status","Public processed data only","1","DS010"
"data_access_status","Partial public raw data; Public processed data","1","DS026"
"data_access_status","Partial public raw data; public archive record","1","DS023"
"data_access_status","Public raw data; public peak/processed data","1","DS059"
"data_access_status","Public raw SRA and processed raw-count text","1","DS089"
"data_access_status","Public raw data via SRA; public processed GEO CSV","1","DS087"
"data_access_status","Public raw SRA and processed CTSS BED files","1","DS090"
"data_access_status","Public raw FASTQ via ENA; processed data unclear","1","DS092"
"data_access_status","Public raw FASTQ via ENA; public processed count files via ArrayExpress FTP","1","DS091"
"data_access_status","Public raw SRA and processed supplementary files","1","DS086"
"data_access_status","Public raw data; article/additional files provide supporting processed outputs","1","DS081"
"data_access_status","Public repository record","1","DS075"
"data_access_status","Public raw data and results","1","DS082"
"data_access_status","Public processed data only; raw data not provided","1","DS085"
"data_access_status","Public raw FASTQ data; processed data not deposited in BioStudies","1","DS084"
"clinical_metadata","Partial","68","DS021; DS035; DS038; DS039; DS040; DS041; DS042; DS043"
"clinical_metadata","Unclear","30","DS003; DS004; DS005; DS006; DS007; DS008; DS009; DS010"
"clinical_metadata","Yes","18","DS001; DS070; DS071; DS072; DS073; DS074; DS075; DS076"
"treatment_metadata","Unclear","66","DS003; DS004; DS006; DS007; DS008; DS009; DS010; DS011"
"treatment_metadata","Yes","28","DS001; DS019; DS020; DS038; DS039; DS043; DS047; DS048"
"treatment_metadata","No treatment-response metadata","2","DS097; DS108"
"treatment_metadata","LPS stimulation; IFNg stimulation; SP140 siRNA knockdown; rs6716753 genotype","1","DS099"
"treatment_metadata","Muramyl dipeptide stimulation; unstimulated controls; NOD2 genotype; ATG16L1 wild-type noted","1","DS098"
"treatment_metadata","Patients instructed to avoid antibiotics, steroids, immunosuppressants, and biologics for 3 months before recruitment","1","DS094"
"treatment_metadata","Ex vivo LPS, DMSO, topotecan, and etoposide perturbation metadata","1","DS095"
"treatment_metadata","Yes; infliximab/placebo dose, timepoint, week 8 and week 30 response metadata","1","DS106"
"treatment_metadata","Ustekinumab 130 mg IV; ustekinumab 6 mg/kg; placebo IV; week 0 biopsy; week 8 mucosal healing outcome","1","DS107"
"treatment_metadata","Yes; etrolizumab study, remission at week 10, prior anti-TNF and TNF-IR metadata","1","DS105"
"treatment_metadata","Viral-like particle stimulation; mock treatment","1","DS100"
"treatment_metadata","Yes; ustekinumab trial context, but public sample-level treatment fields are heterogeneous and need deeper parsing","1","DS102"
"treatment_metadata","No treatment metadata directly evident","1","DS092"
"treatment_metadata","Treatment class present in article methods","1","DS082"
"treatment_metadata","Treatment-naive/newly diagnosed stated; no treatment-response metadata","1","DS086"
"treatment_metadata","Diet intervention metadata","1","DS081"
"treatment_metadata","Partial","1","DS005"
"treatment_metadata","No","1","DS066"
"treatment_metadata","Disease activity/remission status available; treatment details unclear","1","DS090"
"treatment_metadata","Adalimumab; infliximab; responder/non-responder clinical history","1","DS091"
"treatment_metadata","Unclear; not a treatment-response dataset","1","DS089"
"treatment_metadata","No explicit treatment-response metadata","1","DS087"
"treatment_metadata","Vedolizumab; infliximab; placebo; week 0, week 4-6, week 6, week 12, week 52; responder/non-responder by endoscopic mucosal healing","1","DS088"
"longitudinal","No","93","DS003; DS004; DS005; DS006; DS007; DS008; DS009; DS010"
"longitudinal","Yes","17","DS001; DS019; DS039; DS041; DS042; DS047; DS061; DS064"
"longitudinal","Unclear","4","DS075; DS091; DS102; DS113"
"longitudinal","Partial; repeated active/inactive same-site sampling in UC patients","1","DS108"
"longitudinal","No expression time series evident; baseline expression with later outcome metadata","1","DS107"
"endoscopy_available","Unclear","101","DS003; DS004; DS005; DS006; DS007; DS008; DS009; DS010"
"endoscopy_available","Yes","9","DS001; DS078; DS083; DS084; DS088; DS092; DS094; DS101"
"endoscopy_available","No","5","DS023; DS024; DS026; DS035; DS095"
"endoscopy_available","Yes; subjects underwent sigmoidoscopy or colonoscopy","1","DS090"
