"dataset_id","dataset_name","study_family","analysis_scenarios","omics_layer","disease","specimen_type","anatomical_site","sample_size_subjects","sample_size_samples","data_access_status","reuse_readiness","accession","repository","dataset_url","publication_url","caveats"
"DS083","GSE212849 PROgECT golimumab UC response microarray","PROgECT_golimumab_UC","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Ulcerative colitis","Colonic biopsy","Colon; 15 to 20 cm from anal verge","84 patients","84 GEO samples","Public raw data; public processed data","Analysis-ready candidate","GSE212849","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212849","https://pubmed.ncbi.nlm.nih.gov/36170836/","No major registry-level blocker identified"
"DS084","E-MTAB-7845 vedolizumab response mucosal RNA-seq","vedolizumab_IBD_mucosal_response_E-MTAB-7845","cd vs uc; mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease; ulcerative colitis","Inflamed colonic mucosal biopsies","Colon; colonic mucosa","47 patients/samples","47 assays / ENA runs","Public raw FASTQ data; processed data not deposited in BioStudies","Raw data reusable","E-MTAB-7845","ArrayExpress / BioStudies; ENA","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7845","https://pubmed.ncbi.nlm.nih.gov/31446181/","No major registry-level blocker identified"
"DS085","GSE152316 BERGAMOT Crohn etrolizumab biopsy RNA-seq","BERGAMOT_etrolizumab_Crohn","mucosal biopsy; ileum; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Ileum; colon; some tissue_site NA in GEO sample titles","253 unique patient IDs inferred from GEO sample titles; verify before final use","382 GEO samples","Public processed data only; raw data not provided","Processed data reusable","GSE152316","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152316","https://doi.org/10.1016/j.xcrm.2021.100381","No major registry-level blocker identified"
"DS086","GSE117875 pediatric Crohn ileal epithelial-cell RNA-seq","pediatric_CD_ileal_epithelial_RNAseq_GSE117875","cd vs control; mucosal biopsy; ileum; bulk transcriptomics; pediatric","Bulk transcriptomics","Crohn disease; healthy/non-IBD controls","Intestinal epithelial cells dissociated from ileal endoscopic biopsies","Ileum","13 subjects; 6 CD and 7 controls","13 samples","Public raw SRA and processed supplementary files","Analysis-ready candidate","GSE117875","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117875","https://doi.org/10.1172/jci.insight.122104","No major registry-level blocker identified"
"DS087","GSE156044 Crohn creeping-fat mesenteric adipose RNA-seq","Crohn_creeping_fat_GSE156044","cd vs control; bulk transcriptomics","Bulk transcriptomics","Crohn disease; healthy ileal controls","Mesenteric adipose tissue","Mesenteric adipose tissue; creeping fat; healthy mesenteric fat","8","8","Public raw data via SRA; public processed GEO CSV","Analysis-ready candidate","GSE156044","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156044","https://pubmed.ncbi.nlm.nih.gov/32991841/","No major registry-level blocker identified"
"DS089","GSE160925 gut CD8 tissue-resident T-cell RNA-seq","gut_CD8_TRM_Crohn_GSE160925","cd vs control; mucosal biopsy; ileum; bulk transcriptomics","Bulk transcriptomics of sorted cells","Crohn disease; healthy controls","Sorted CD8+CD69+ tissue-resident T-cell subsets from terminal ileum; epithelium and lamina propria; CD103+ and CD103-","Terminal ileum; epithelium; lamina propria","7 subjects inferred from GEO patient labels","21 samples","Public raw SRA and processed raw-count text","Analysis-ready candidate","GSE160925","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160925","https://doi.org/10.1016/j.jcmgh.2021.06.022","No major registry-level blocker identified"
"DS090","GSE95437 IBD descending-colon CAGE enhancer/promoter atlas","IBD_descending_colon_CAGE_GSE95437","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon","Transcriptomics; promoter/enhancer activity profiling","Inflammatory bowel disease; Crohn disease; ulcerative colitis; healthy controls","Descending colon pinch biopsies","Descending colon","94","94 samples","Public raw SRA and processed CTSS BED files","Analysis-ready candidate","GSE95437","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95437","https://doi.org/10.1038/s41467-018-03766-z","No major registry-level blocker identified"
"DS091","E-MTAB-7604 anti-TNF inflamed intestinal mucosa RNA-seq","anti_TNF_TREM1_Leuven_RNAseq_E-MTAB-7604","cd vs uc; mucosal biopsy; ileum; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Inflammatory bowel disease; Crohn disease and ulcerative colitis noted in study description","Inflamed intestinal mucosal samples; ulcer sampling site","Colon; ileum","Unclear","44 RNA-seq samples","Public raw FASTQ via ENA; public processed count files via ArrayExpress FTP","Analysis-ready candidate","E-MTAB-7604; ERP113396","ArrayExpress; BioStudies; ENA","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7604","https://pubmed.ncbi.nlm.nih.gov/30685385/","No major registry-level blocker identified"
"DS092","E-MTAB-9731 UC healed versus non-healed biopsy RNA-seq","UC_healed_nonhealed_RNAseq_E-MTAB-9731","mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis","Colonic endoscopic biopsies","Colon","21","21 RNA-seq libraries; 42 paired FASTQ file rows","Public raw FASTQ via ENA; processed data unclear","Raw data reusable","E-MTAB-9731","ArrayExpress; BioStudies; ENA","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-9731","Unclear","No major registry-level blocker identified"
"DS093","GSE164871 Crohn colon tissue RNA-seq","Crohn_colon_splicing_GSE164871","cd vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics; alternative splicing profiling","Crohn disease; controls","Colon tissue","Colon","8 individuals; 4 CD and 4 controls","8 samples","Public raw SRA data; public processed alternative-splicing events file","Analysis-ready candidate","GSE164871","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164871","Unclear","No major registry-level blocker identified"
"DS094","GSE171244 terminal ileal Crohn paired transcriptome-microbiome RNA-seq","terminal_ileal_Crohn_paired_multiomics_GSE171244","mucosal biopsy; ileum; bulk transcriptomics","Bulk transcriptomics","Crohn disease","Terminal ileal mucosal biopsies","Ileum; inflamed mucosa and proximal non-inflamed mucosa","10 CD patients","20 samples; paired inflamed and non-inflamed ileal biopsies","Public raw SRA data; public processed raw-count CSV","Analysis-ready candidate","GSE171244","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171244","https://pubmed.ncbi.nlm.nih.gov/34113837/","No major registry-level blocker identified"
"DS096","GSE66207 Crohn behavior colon RNA-seq","Crohn_behavior_colon_RNAseq_GSE66207","cd vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics; mRNA RNA-seq; companion small RNA in study/superseries","Crohn disease; non-IBD controls","Fresh-frozen colon tissue; macroscopically non-inflamed colon samples in this RNA-seq subseries","Colon","33 subjects/samples in GSE66207; 20 Crohn disease and 13 non-IBD controls inferred from GEO sample metadata","33 samples","Public raw SRA and processed raw/normalized count files","Analysis-ready candidate","GSE66207","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66207","https://pubmed.ncbi.nlm.nih.gov/26164662/","No major registry-level blocker identified"
"DS097","GSE67250 Crohn fibrosis intestinal fibroblast methylome and transcriptome","GSE67250_Crohn_fibrosis_fibroblast_multiomics","cd vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics; DNA methylation / epigenomics","Crohn disease-associated fibrosis; diverticulitis controls","Purified/cultured human intestinal fibroblasts","Colon","6 individuals/samples: 3 Crohn fibrosis and 3 controls","12 sequencing samples: RNA-seq and MiGS on each of 6 fibroblast samples","Public raw data via SRA; public processed TXT files via GEO","Analysis-ready candidate","GSE67250; SRP056520; PRJNA279340","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67250","https://pubmed.ncbi.nlm.nih.gov/26973718/","No major registry-level blocker identified"
"DS098","GSE69446 NOD2 genotype monocyte RNA-seq and miRNA-seq in Crohn","NOD2_monocyte_Crohn_RNA_miRNA_GSE69446","cd vs control; bulk transcriptomics","Bulk transcriptomics; miRNA / non-coding RNA profiling","Crohn disease; healthy controls","Monocytes","Blood; monocytes","Unclear; inferred groups include CD NOD2-variant, CD NOD2-wild-type, and healthy control replicate sets, but exact subjects not directly verified","28 sequencing samples","Public raw data via SRA; public processed bigWig files via GEO","Analysis-ready candidate","GSE69446; SRP058953; PRJNA285507","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69446","https://pubmed.ncbi.nlm.nih.gov/29263823/","No major registry-level blocker identified"
"DS100","GSE135223 IBD viral-like particle macrophage response RNA-seq","IBD_VLP_macrophage_response_GSE135223","cd vs control; uc vs control; cd vs uc; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Crohn disease; ulcerative colitis; non-IBD controls","Peripheral blood-derived macrophages treated with colonic-resection viral-like particles","Macrophage assay; VLP isolates from colonic resections","3 healthy macrophage donors pooled; VLP isolates from 5 CD, 5 UC, 5 non-IBD resections","18 samples; 5 CD VLP, 5 UC VLP, 5 non-IBD VLP, 3 mock replicates","Public raw SRA data; public processed read-count files","Analysis-ready candidate","GSE135223","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135223","https://pubmed.ncbi.nlm.nih.gov/35394816/","No major registry-level blocker identified"
"DS101","GSE9452 UC preinflammatory colonic mucosa microarray","UC_preinflammatory_mucosa_GSE9452","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; controls","Colonic mucosal endoscopic pinch biopsies","Colon; descending colon; sigmoid colon","26 samples/subjects inferred from GEO design; exact independent subject count unclear","26 samples; 8 UC inflamed, 13 UC non-inflamed, 5 controls","Public raw CEL files; public processed GEO matrix","Analysis-ready candidate","GSE9452","GEO; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9452","https://pubmed.ncbi.nlm.nih.gov/19177426/","No major registry-level blocker identified"
"DS102","GSE100833 ustekinumab Crohn blood and intestinal biopsy microarray","CERTIFI_ustekinumab_Crohn","cd vs control; mucosal biopsy; ileum; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease; inflammatory bowel disease; normal/control samples also appear in GEO sample metadata","Intestinal biopsies; whole blood","Multiple intestinal regions including ascending colon, terminal ileum, rectum; blood","Unclear overall; GEO design states 87 biopsy patients and 204 blood-sampled patients","1717 GEO samples total; GEO design explicitly states 329 Crohn biopsies and blood samples from 204 patients at week 0","Public raw CEL files and processed GEO matrix data","Analysis-ready candidate","GSE100833","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100833","https://doi.org/10.1038/ng.3947","No major registry-level blocker identified"
"DS103","GSE102746 UC intestinal epithelial organoid RNA-seq","UC_colon_organoid_GSE102746","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; non-IBD controls","Patient-derived intestinal epithelial organoids from colon","Distal colon / colon-derived organoids","Unclear","20 samples; 10 UC organoids and 10 normal organoids","Public raw SRA data; public processed FPKM table","Analysis-ready candidate","GSE102746","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102746","https://pubmed.ncbi.nlm.nih.gov/29983891/","No major registry-level blocker identified"
"DS104","GSE158952 pediatric IBD rectal and ileal tissue RNA-seq","pediatric_IBD_rectal_ileal_splicing_GSE158952","cd vs uc; mucosal biopsy; ileum; colon; bulk transcriptomics; pediatric","Bulk transcriptomics; transcript splicing / PSI profiling","Crohn disease; ulcerative colitis","Rectal tissue biopsies; ileal tissue biopsies","Rectum; ileum","33 patients; 19 CD and 14 UC","119 samples after QC; rectal n=59 and ileal n=60","Public raw SRA data; public processed raw-count and PSI files","Analysis-ready candidate","GSE158952","GEO; SRA; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158952","https://pubmed.ncbi.nlm.nih.gov/34301333/","No major registry-level blocker identified"
"DS105","GSE72819 etrolizumab UC baseline biopsy RNA-seq","EUCALYPTUS_etrolizumab_UC","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Ulcerative colitis","Baseline colonic biopsies","Colon","73 patients/samples inferred from one baseline biopsy per GEO sample","73 samples","Public raw SRA and per-sample processed count/RPKM files","Analysis-ready candidate","GSE72819","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72819","https://doi.org/10.1053/j.gastro.2015.10.041","No major registry-level blocker identified"
"DS106","GSE23597 infliximab UC colonic biopsy microarray","ACT1_infliximab_UC","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Ulcerative colitis","Colonic biopsies","Colon","48 patients","113 biopsy array samples","Public CEL files and GEO processed data","Analysis-ready candidate","GSE23597","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23597","https://doi.org/10.1038/ajg.2011.83","No major registry-level blocker identified"
"DS108","GSE53306 active and inactive UC colon DASL expression","active_quiescent_UC_DASL_GSE53306","uc vs control; mucosal biopsy; colon; bulk transcriptomics","Bulk transcriptomics","Ulcerative colitis; healthy controls","Endoscopic pinch biopsies; colon tissue; FFPE-derived RNA","Colon","Unclear; sample titles suggest 13 UC patients and 12 healthy controls","40 colon biopsy arrays: 16 active UC, 12 inactive UC, 12 healthy controls by sample titles","Public processed GEO data; raw data unclear","Processed data reusable","GSE53306; PRJNA231677","GEO; BioProject","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53306","https://pubmed.ncbi.nlm.nih.gov/26034135/","No major registry-level blocker identified"
"DS110","GSE98820 Crohn adalimumab intestinal biopsy expression","adalimumab_CD_mucosal_response_GSE98820","mucosal biopsy; colon; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Intestine; colon regions unclear","10 patients","80","Public raw CEL files; public processed GEO data","Raw data reusable","GSE98820","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98820","Unclear","sample metadata not fully checked"
"DS111","GSE111761 Crohn anti-TNF LPMC responder expression","anti_TNF_CD_IL23R_Erlangen_GSE111761","mucosal biopsy; bulk transcriptomics; treatment response","Bulk transcriptomics","Crohn disease","Isolated lamina propria mononuclear cells","Intestinal lamina propria","6","6","Public raw data; public processed GEO data","Analysis-ready candidate","GSE111761","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111761","https://pubmed.ncbi.nlm.nih.gov/29848778/","No major registry-level blocker identified"
"DS112","GSE261334 vedolizumab UC circulating immune scRNA-seq","vedolizumab_UC_circulating_immune_scRNAseq_GSE261334","uc vs control; single cell; treatment response","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Peripheral blood mononuclear cells","Blood/PBMC","15 subjects","29","Public processed data; raw files not public due patient privacy","Processed data reusable","GSE261334","GEO","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261334","https://pubmed.ncbi.nlm.nih.gov/39343250/","No major registry-level blocker identified"
"DS120","PRJEB18471 IBD gut microbiome dynamics profiling","IBD_gut_microbiome_dynamics_PRJEB18471","cd vs control; uc vs control; cd vs uc","Metagenomics","Crohn disease; ulcerative colitis; healthy controls","Stool samples","Stool","118 individuals: 49 CD, 60 UC, 9 healthy controls","555 longitudinal fecal samples reported by source/publication","Public raw sequencing data; public metadata","Raw data reusable","PRJEB18471; ERP020401","ENA; BioProject","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB18471","https://www.nature.com/articles/nmicrobiol20174","sample metadata not fully checked"
"DS122","ST003312/ST003313 Crohn flare serum and fecal metabolomics","Crohn_flare_serum_fecal_metabolomics","cd vs control; treatment response","Metabolomics","Crohn disease; controls","Serum; stool samples","Blood/serum; stool","80 CD patients and 43 controls reported by publication","202 serum samples in ST003312; 294 feces samples in ST003313","Public raw data; public processed Metabolomics Workbench data","Raw data reusable","ST003312; ST003313","Metabolomics Workbench","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003312","https://pubmed.ncbi.nlm.nih.gov/40650893/","sample metadata not fully checked"
