"study_family","dataset_count","counted_cohort_rows","not_counted_rows","unclear_countability_rows","primary_dataset_ids","all_dataset_ids","origin_types","omics_layers","diseases","specimen_types","anatomical_sites","clinical_trial_or_treatment","reuse_readiness_best","manual_review_needed","representative_source_url","notes"
"anti_integrin_UC_single_cell_spatial_multiomics","3","1","2","0","DS114","DS114; DS115; DS116","Public repository accession","Bulk transcriptomics; Multi-omics; Single-cell transcriptomics","Ulcerative colitis; healthy controls","Blood cells; Colonic biopsy-derived cells; Colonic biopsy-derived immune/cell suspensions","Blood; Colon","FALSE","Requires access approval","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250487","Review sibling rows before counting cohorts."
"colon_inflammation_adenoma_cancer_GSE4183","1","1","0","0","DS066","DS066","Public repository accession","Bulk transcriptomics","IBD/inflammation; adenoma; colorectal cancer; controls","Colonic biopsy specimens","Colon","FALSE","Raw data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE4183","Single represented study-family row."
"first_infliximab_IBD_GSE16879","1","0","0","1","Unclear","DS061","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease; IBD; ulcerative colitis","Mucosal biopsies","Intestinal mucosa","TRUE","Raw data reusable","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16879","Review sibling rows before counting cohorts."
"golimumab_UC_pediatric_adult_GSE87473","1","1","0","0","DS060","DS060","Clinical trial or treatment cohort","Bulk transcriptomics","Ulcerative colitis; controls","Mucosal biopsies","Colon/intestinal mucosa","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87473","Single represented study-family row."
"gut_CD8_TRM_Crohn_GSE160925","1","1","0","0","DS089","DS089","Public repository accession","Bulk transcriptomics","Crohn disease; healthy controls","CD103+ and CD103-; Sorted CD8+CD69+ tissue-resident T-cell subsets from terminal ileum; epithelium and lamina propria","Terminal ileum; epithelium; lamina propria","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160925","Single represented study-family row."
"pediatric_CD_ileal_epithelial_RNAseq_GSE117875","1","1","0","0","DS086","DS086","Public repository accession","Bulk transcriptomics","Crohn disease; healthy/non-IBD controls","Intestinal epithelial cells dissociated from ileal endoscopic biopsies","Ileum","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117875","Single represented study-family row."
"pediatric_IBD_colon_GSE10616","1","1","0","0","DS006","DS006","Public repository accession","Bulk transcriptomics","Colon-only Crohn disease; healthy controls; ileocolonic Crohn disease; ulcerative colitis","Colonic biopsies","Colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10616","Single represented study-family row."
"pediatric_IBD_paired_blood_colon_GSE126124","1","1","0","0","DS007","DS007","Public repository accession","Bulk transcriptomics","Crohn disease; IBD-unclassified; non-IBD controls; ulcerative colitis","Paired whole blood and colonic biopsy","Blood; colon","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126124","Single represented study-family row."
"pediatric_IBD_rectal_ileal_splicing_GSE158952","1","1","0","0","DS104","DS104","Public repository accession","Bulk transcriptomics","Crohn disease; ulcerative colitis","Rectal tissue biopsies; ileal tissue biopsies","Rectum; ileum","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158952","Single represented study-family row."
"scIBD_Gut_Cell_Atlas_source_cohort","5","5","0","0","DS020; DS070; DS071; DS074; DS076","DS020; DS070; DS071; DS074; DS076","Clinical trial or treatment cohort; Consortium or atlas","Bulk transcriptomics; Single-cell transcriptomics","Crohn disease; IBD; Pediatric-onset colitis; Ulcerative colitis; controls; healthy controls; ulcerative colitis","Colonic epithelial cells from biopsies; Colonic mesenchyme cells; IEL and lamina propria compartments; Ileal resection tissue; PBMC; Single-cell suspensions from colonic biopsies; Sorted intestinal T cells; sorted immune and non-immune fractions","Colon; Colon mucosa; Ileum; Intestine; blood","TRUE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809","Review sibling rows before counting cohorts."
"scIBD_source_cohort","3","3","0","0","DS072; DS073; DS075","DS072; DS073; DS075","Consortium or atlas","Bulk transcriptomics; Single-cell transcriptomics","Sjogren's syndrome; Ulcerative colitis; healthy controls; idiopathic pulmonary fibrosis; interstitial lung disease; keratoconjunctivitis sicca; osteoarthritis; rheumatoid arthritis","Colon mucosa cells: epithelial, immune, stromal; Patient-derived fibroblasts / stromal cells; Sorted colonic CD8 T cells","Colon; Colon mucosa; Gut plus synovium, lung, lip/salivary gland","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148837","Review sibling rows before counting cohorts."
"terminal_ileal_Crohn_paired_multiomics_GSE171244","1","1","0","0","DS094","DS094","Public repository accession","Bulk transcriptomics; Microbiome","Crohn disease","Terminal ileal mucosal biopsies","Ileum; inflamed mucosa and proximal non-inflamed mucosa","FALSE","Analysis-ready candidate","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171244","Single represented study-family row."
"treatment_naive_Crohn_FFPE_RNAseq_GSE221161","1","1","0","0","DS043","DS043","Public repository accession","Bulk transcriptomics","Crohn disease","FFPE ileal and colonic biopsies","Ileum; colon","FALSE","Requires access approval","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221161","Single represented study-family row."
"vedolizumab_IBD_mucosal_response_E-MTAB-7845","1","1","0","0","DS084","DS084","Clinical trial or treatment cohort","Bulk transcriptomics","Crohn disease; ulcerative colitis","Inflamed colonic mucosal biopsies","Colon; colonic mucosa","TRUE","Raw data reusable","FALSE","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7845","Single represented study-family row."
"vedolizumab_UC_CITEseq_cell_communication_GSE228165","1","1","0","0","DS113","DS113","Clinical trial or treatment cohort","Bulk transcriptomics; Single-cell transcriptomics","Ulcerative colitis","Peripheral blood and colon immune cells","Blood; colon","TRUE","Metadata usable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228165","Single represented study-family row."
"vedolizumab_UC_circulating_immune_scRNAseq_GSE261334","1","1","0","0","DS112","DS112","Clinical trial or treatment cohort","Bulk transcriptomics; Single-cell transcriptomics","Ulcerative colitis; healthy controls","Peripheral blood mononuclear cells","Blood/PBMC","TRUE","Processed data reusable","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261334","Single represented study-family row."
